fscl_yr_nb,fscl_mo_nb,fscl_mo_nm,SkuNbr,ShipToCode,Issued Quantity
2015,7,APRIL,04771000,CD3P,1 
2015,7,APRIL,04771000,CD3P,2 
2015,7,APRIL,05110048,3P,340 
2015,7,APRIL,06110128,3D,24 
2015,7,APRIL,06110316,3P,5 
2015,7,APRIL,06110320,3P,22 
2015,7,APRIL,06771002,CD3D,2 
2015,7,APRIL,06771537,CD3P,3 
2015,7,APRIL,06772105,CD3D,4 
2015,7,APRIL,06772257,CD3D,5 
2015,7,APRIL,06779312,CD3D,2 
2015,7,APRIL,01120013,3P,"4,490 "
2015,7,APRIL,04120050,3P,130 
2015,7,APRIL,04125065,3P,120 
2015,7,APRIL,04771000,CD3P,1 
2015,7,APRIL,04772806,CD3P,5 
2015,7,APRIL,04772853,CD3P,1 
2015,7,APRIL,05110007,3P,899 
2015,7,APRIL,05176006,3P,"3,200 "
2015,7,APRIL,06110029,3D,42 
2015,7,APRIL,06160290,3D,88 
2015,7,APRIL,06770751,CD3D,2 
2015,7,APRIL,06771002,CD3D,18 
2015,7,APRIL,06775418,CD3D,4 
2015,7,APRIL,06775556,CD3D,2 
2015,7,APRIL,06778638,CD3D,2 
2015,7,APRIL,02127000,3P,999 
2015,7,APRIL,03771000,CD3P,0 
2015,7,APRIL,04120004,3P,48 
2015,7,APRIL,04771000,CD3P,0 
2015,7,APRIL,05173018,3P,6 
2015,7,APRIL,06142008,3D,54 
2015,7,APRIL,06148007,3D,208 
2015,7,APRIL,06148028,3D,144 
2015,7,APRIL,06163689,3D,60 
2015,7,APRIL,06770463,CD3D,2 
2015,7,APRIL,06770597,CD3D,2 
2015,7,APRIL,06775483,CD3D,2 
2015,7,APRIL,06778243,CD3D,2 
2015,7,APRIL,06778622,CD3D,2 
2015,7,APRIL,06778624,CD3D,1 
2015,7,APRIL,04771000,CD3P,3 
2015,7,APRIL,05110072,3P,234 
2015,7,APRIL,05173070,3P,80 
2015,7,APRIL,06166013,3D,88 
2015,7,APRIL,06771002,CD3D,2 
2015,7,APRIL,06778633,CD3D,1 
2015,7,APRIL,02127002,3P,"1,956 "
2015,7,APRIL,02770006,CD3P,440 
2015,7,APRIL,04126005,3P,240 
2015,7,APRIL,04126021,3P,25 
2015,7,APRIL,04127042,3P,640 
2015,7,APRIL,04771000,CD3P,1 
2015,7,APRIL,05173064,3P,35 
2015,7,APRIL,06117005,3D,12 
2015,7,APRIL,06140062,3D,350 
2015,7,APRIL,06166015,3D,90 
2015,7,APRIL,06772108,CD3D,6 
2015,7,APRIL,06773175,CD3P,2 
2015,7,APRIL,06778630,CD3D,1 
2015,7,APRIL,01120226,3P,979 
2015,7,APRIL,01770260,CD3P,30 
2015,7,APRIL,02771001,CD3P,0 
2015,7,APRIL,04120002,3P,65 
2015,7,APRIL,04120026,3P,64 
2015,7,APRIL,05171002,3P,45 
2015,7,APRIL,05173016,3P,60 
2015,7,APRIL,05176008,3P,420 
2015,7,APRIL,06110146,3D,12 
2015,7,APRIL,06110148,3D,8 
2015,7,APRIL,06140047,3D,50 
2015,7,APRIL,06168032,3D,32 
2015,7,APRIL,06771000,CD3D,1 
2015,7,APRIL,06771002,CD3D,1 
2015,7,APRIL,06771002,CD3D,1 
2015,7,APRIL,06772107,CD3D,7 
2015,7,APRIL,06775318,CD3D,9 
2015,7,APRIL,06776545,CD3D,12 
2015,7,APRIL,06776921,CD3D,3 
2015,7,APRIL,06776923,CD3D,6 
2015,7,APRIL,01120014,3P,"15,302 "
2015,7,APRIL,02770010,CD3P,"1,240 "
2015,7,APRIL,04772819,CD3P,4 
2015,7,APRIL,04772830,CD3P,2 
2015,7,APRIL,05110010,3P,468 
2015,7,APRIL,05110076,3P,210 
2015,7,APRIL,05130013,3P,72 
2015,7,APRIL,05173058,3P,50 
2015,7,APRIL,06140024,3D,80 
2015,7,APRIL,06150444,3D,126 
2015,7,APRIL,06156062,3D,"1,176 "
2015,7,APRIL,06160318,3D,34 
2015,7,APRIL,06160597,3D,54 
2015,7,APRIL,06181540,3D,54 
2015,7,APRIL,06770481,CD3D,1 
2015,7,APRIL,06771000,CD3P,3 
2015,7,APRIL,06771002,CD3D,1 
2015,7,APRIL,06772136,CD3D,4 
2015,7,APRIL,06772137,CD3D,6 
2015,7,APRIL,06775246,CD3D,3 
2015,7,APRIL,04110038,3P,756 
2015,7,APRIL,04124006,3P,240 
2015,7,APRIL,05130027,3P,336 
2015,7,APRIL,06110098,3D,18 
2015,7,APRIL,06110318,3P,32 
2015,7,APRIL,06771000,CD3P,3 
2015,7,APRIL,06771000,CD3P,18 
2015,7,APRIL,06771000,CD3P,10 
2015,7,APRIL,06771002,CD3D,2 
2015,7,APRIL,06775247,CD3D,3 
2015,7,APRIL,06778084,CD3D,3 
2015,7,APRIL,06778449,CD3P,6 
2015,7,APRIL,01120210,3P,"3,026 "
2015,7,APRIL,04125004,3P,60 
2015,7,APRIL,04771002,CD3P,0 
2015,7,APRIL,04772837,CD3P,1 
2015,7,APRIL,06775426,CD3D,5 
2015,7,APRIL,06778592,CD3D,14 
2015,7,APRIL,02115034,3P,"4,000 "
2015,7,APRIL,02115045,3P,"3,760 "
2015,7,APRIL,04127050,3P,140 
2015,7,APRIL,04772850,CD3P,2 
2015,7,APRIL,05174002,3P,180 
2015,7,APRIL,06110033,3D,6 
2015,7,APRIL,06110142,3D,52 
2015,7,APRIL,06110145,3D,32 
2015,7,APRIL,06110149,3D,16 
2015,7,APRIL,06771000,CD3P,200 
2015,7,APRIL,06775927,CD3D,1 
2015,7,APRIL,06779329,CD3D,3 
2015,7,APRIL,06779804,CD3D,2 
2015,7,APRIL,06779805,CD3D,2 
2015,7,APRIL,06778564,CD3D,3 
2015,7,APRIL,06778623,CD3D,1 
2015,7,APRIL,06778713,CD3D,1 
2015,7,APRIL,06779320,CD3D,1 
2015,7,APRIL,09150136,3D,96 
2015,7,APRIL,09150817,3D,450 
2015,7,APRIL,09162020,3D,40 
2015,7,APRIL,10110024,3D,96 
2015,7,APRIL,70338694,CD3L,12 
2015,7,APRIL,70341134,CD3L,24 
2015,7,APRIL,70345964,CD3L,12 
2015,7,APRIL,70345974,CD3L,12 
2015,7,APRIL,70448944,CD3L,12 
2015,7,APRIL,70449114,CD3L,24 
2015,7,APRIL,70449584,CD3L,12 
2015,7,APRIL,70772714,CD3L,12 
2015,7,APRIL,71712043,3L,60 
2015,7,APRIL,74770394,CD3L,1 
2015,7,APRIL,74770673,CD3L,18 
2015,7,APRIL,78770894,CD3L,2 
2015,7,APRIL,79BL0010,3L,8 
2015,7,APRIL,79NR8706,3L,200 
2015,7,APRIL,79NR9586,3L,50 
2015,7,APRIL,81BL0260,CD3L,5 
2015,7,APRIL,81CN0165,CD3L,10 
2015,7,APRIL,81NR2626,CD3L,2 
2015,7,APRIL,01120228,3P,"2,030 "
2015,7,APRIL,04126007,3P,112 
2015,7,APRIL,04771000,CD3P,1 
2015,7,APRIL,06110010,3D,12 
2015,7,APRIL,06110153,3D,76 
2015,7,APRIL,06140030,3D,10 
2015,7,APRIL,06142013,3D,54 
2015,7,APRIL,06168068,3D,16 
2015,7,APRIL,06770399,CD3D,6 
2015,7,APRIL,06770734,CD3D,1 
2015,7,APRIL,06771000,CD3P,6 
2015,7,APRIL,06771002,CD3D,2 
2015,7,APRIL,06772100,CD3D,12 
2015,7,APRIL,01771001,CD3P,6 
2015,7,APRIL,05110065,3P,100 
2015,7,APRIL,05170010,3P,20 
2015,7,APRIL,05173051,3P,90 
2015,7,APRIL,06160338,3D,"1,188 "
2015,7,APRIL,06161071,3D,216 
2015,7,APRIL,06770517,CD3D,17 
2015,7,APRIL,06772224,CD3D,2 
2015,7,APRIL,06778595,CD3D,1 
2015,7,APRIL,07771000,CD3P,1 
2015,7,APRIL,09110071,3D,40 
2015,7,APRIL,09150800,3D,180 
2015,7,APRIL,10140028,3D,104 
2015,7,APRIL,70110007,3L,"1,296 "
2015,7,APRIL,70339954,CD3L,6 
2015,7,APRIL,70347674,CD3L,36 
2015,7,APRIL,70348444,CD3L,12 
2015,7,APRIL,70350554,CD3L,24 
2015,7,APRIL,70351474,CD3L,0 
2015,7,APRIL,70351524,CD3L,12 
2015,7,APRIL,70550204,CD3L,12 
2015,7,APRIL,70663164,CD3L,24 
2015,7,APRIL,70667494,CD3L,6 
2015,7,APRIL,70772114,CD3L,24 
2015,7,APRIL,70774264,CD3L,12 
2015,7,APRIL,74770374,CD3L,16 
2015,7,APRIL,79NR7077,3L,100 
2015,7,APRIL,81NR0154,CD3L,2 
2015,7,APRIL,81NR0555,CD3L,1 
2015,7,APRIL,81NR2546,CD3L,8 
2015,7,APRIL,81NR2586,CD3L,9 
2015,7,APRIL,81NR3626,CD3L,2 
2015,7,APRIL,83108344,CD3L,8 
2015,7,APRIL,83109334,CD3L,1 
2015,7,APRIL,83136734,CD3L,1 
2015,7,APRIL,04116013,3P,856 
2015,7,APRIL,04116015,3P,366 
2015,7,APRIL,04128108,3P,168 
2015,7,APRIL,09120065,3D,0 
2015,7,APRIL,09150813,3D,108 
2015,7,APRIL,09770227,CD3D,4 
2015,7,APRIL,70339044,CD3L,6 
2015,7,APRIL,70339984,CD3L,6 
2015,7,APRIL,70440034,CD3L,12 
2015,7,APRIL,70443994,CD3L,48 
2015,7,APRIL,70660716,CD3L,2 
2015,7,APRIL,70665534,CD3L,12 
2015,7,APRIL,70665814,CD3L,24 
2015,7,APRIL,70778264,CD3L,24 
2015,7,APRIL,75770064,CD3L,0 
2015,7,APRIL,78776263,CD3L,5 
2015,7,APRIL,79CN0085,3L,50 
2015,7,APRIL,79CN2096,3L,100 
2015,7,APRIL,79CN7065,3L,100 
2015,7,APRIL,79NR0386,3L,100 
2015,7,APRIL,83109294,CD3L,0 
2015,7,APRIL,83130316,CD3L,4 
2015,7,APRIL,01127044,3P,"1,453 "
2015,7,APRIL,03771000,CD3P,0 
2015,7,APRIL,07770002,CD3D,60 
2015,7,APRIL,09150063,3D,9 
2015,7,APRIL,09150573,3D,24 
2015,7,APRIL,09150826,3D,288 
2015,7,APRIL,70347314,CD3L,12 
2015,7,APRIL,70348514,CD3L,24 
2015,7,APRIL,70352184,CD3L,6 
2015,7,APRIL,70352304,CD3L,6 
2015,7,APRIL,70554414,CD3L,12 
2015,7,APRIL,70557054,CD3L,48 
2015,7,APRIL,70559154,CD3L,6 
2015,7,APRIL,70660114,CD3L,12 
2015,7,APRIL,70776994,CD3L,0 
2015,7,APRIL,74770333,CD3L,1 
2015,7,APRIL,74775414,CD3L,4 
2015,7,APRIL,77775553,CD3L,4 
2015,7,APRIL,79PKCN36,3L,100 
2015,7,APRIL,80807568,3D,72 
2015,7,APRIL,81BL1050,CD3L,2 
2015,7,APRIL,81BL1450,CD3L,7 
2015,7,APRIL,81BL2460,CD3L,2 
2015,7,APRIL,09110072,3D,30 
2015,7,APRIL,09169052,3D,216 
2015,7,APRIL,70339154,CD3L,12 
2015,7,APRIL,70341074,CD3L,12 
2015,7,APRIL,70344044,CD3L,12 
2015,7,APRIL,70351554,CD3L,24 
2015,7,APRIL,70354544,CD3L,0 
2015,7,APRIL,70355164,CD3L,3 
2015,7,APRIL,70355304,CD3L,12 
2015,7,APRIL,70442754,CD3L,18 
2015,7,APRIL,70444144,CD3L,12 
2015,7,APRIL,70448034,CD3L,0 
2015,7,APRIL,70666994,CD3L,24 
2015,7,APRIL,70668614,CD3L,18 
2015,7,APRIL,74743063,3L,528 
2015,7,APRIL,81BL2310,CD3L,10 
2015,7,APRIL,81CN7275,CD3L,2 
2015,7,APRIL,81NR1856,CD3L,7 
2015,7,APRIL,81NR2186,CD3L,4 
2015,7,APRIL,81NR3616,CD3L,3 
2015,7,APRIL,01110062,3P,"7,040 "
2015,7,APRIL,09150095,3D,96 
2015,7,APRIL,10120018,3D,330 
2015,7,APRIL,70351354,CD3L,0 
2015,7,APRIL,70352894,CD3L,12 
2015,7,APRIL,70353934,CD3L,12 
2015,7,APRIL,70662394,CD3L,0 
2015,7,APRIL,78785823,3L,180 
2015,7,APRIL,79BL0950,3L,64 
2015,7,APRIL,79NR2716,3L,50 
2015,7,APRIL,81BL1170,CD3L,1 
2015,7,APRIL,81BL1710,CD3L,1 
2015,7,APRIL,81NR1576,CD3L,6 
2015,7,APRIL,81NR3686,CD3L,4 
2015,7,APRIL,83100176,CD3L,0 
2015,7,APRIL,01110064,3P,176 
2015,7,APRIL,01120220,3P,"7,099 "
2015,7,APRIL,03771000,CD3P,20 
2015,7,APRIL,04110007,3P,63 
2015,7,APRIL,04110035,3P,351 
2015,7,APRIL,04116010,3P,"1,248 "
2015,7,APRIL,03771000,CD3P,0 
2015,7,APRIL,04772800,CD3P,8 
2015,7,APRIL,05170006,3P,90 
2015,7,APRIL,06142007,3D,54 
2015,7,APRIL,06142012,3D,54 
2015,7,APRIL,06160014,3P,10 
2015,7,APRIL,06161602,3D,205 
2015,7,APRIL,06168005,3D,22 
2015,7,APRIL,06771000,CD3P,8 
2015,7,APRIL,06776922,CD3D,3 
2015,7,APRIL,06779315,CD3D,2 
2015,7,APRIL,09150824,3D,72 
2015,7,APRIL,70334694,CD3L,12 
2015,7,APRIL,70343784,CD3L,6 
2015,7,APRIL,70345134,CD3L,24 
2015,7,APRIL,70348614,CD3L,12 
2015,7,APRIL,70354304,CD3L,6 
2015,7,APRIL,70358004,CD3L,12 
2015,7,APRIL,72772014,CD3L,1 
2015,7,APRIL,74744916,3L,96 
2015,7,APRIL,79CN0105,3L,50 
2015,7,APRIL,79CN2045,3L,100 
2015,7,APRIL,79NR1076,3L,100 
2015,7,APRIL,81CN2075,CD3L,13 
2015,7,APRIL,81NR0636,CD3L,4 
2015,7,APRIL,81NR1766,CD3L,1 
2015,7,APRIL,81NR5406,CD3L,1 
2015,7,APRIL,81NR7267,CD3L,5 
2015,7,APRIL,81NR7526,CD3L,2 
2015,7,APRIL,81NR7906,CD3L,1 
2015,7,APRIL,83133284,CD3L,2 
2015,7,APRIL,83745277,CD3L,1 
2015,7,APRIL,01161022,3P,"2,000 "
2015,7,APRIL,04126019,3P,70 
2015,7,APRIL,04770003,CD3P,5 
2015,7,APRIL,04771000,CD3P,12 
2015,7,APRIL,05110039,3P,192 
2015,7,APRIL,06110024,3D,12 
2015,7,APRIL,06150066,3D,40 
2015,7,APRIL,06159193,3D,20 
2015,7,APRIL,06161081,3D,216 
2015,7,APRIL,06771530,CD3P,0 
2015,7,APRIL,06771639,CD3D,10 
2015,7,APRIL,06772196,CD3D,5 
2015,7,APRIL,09150352,3D,48 
2015,7,APRIL,70344834,CD3L,12 
2015,7,APRIL,70346194,CD3L,24 
2015,7,APRIL,70352294,CD3L,0 
2015,7,APRIL,70355024,CD3L,72 
2015,7,APRIL,70448654,CD3L,24 
2015,7,APRIL,72723053,3L,528 
2015,7,APRIL,75770073,CD3L,12 
2015,7,APRIL,77115692,3L,360 
2015,7,APRIL,78778154,CD3L,12 
2015,7,APRIL,81BL0620,CD3L,0 
2015,7,APRIL,81BL1460,CD3L,3 
2015,7,APRIL,81NR1866,CD3L,3 
2015,7,APRIL,81NR2056,CD3L,1 
2015,7,APRIL,83108814,CD3L,4 
2015,7,APRIL,83712206,CD3L,1 
2015,7,APRIL,02127012,3P,"1,008 "
2015,7,APRIL,04127045,3P,120 
2015,7,APRIL,04772857,CD3P,4 
2015,7,APRIL,05175001,3P,5 
2015,7,APRIL,06110023,3D,24 
2015,7,APRIL,06159171,3D,100 
2015,7,APRIL,06771002,CD3D,10 
2015,7,APRIL,06771002,CD3D,2 
2015,7,APRIL,06776400,CD3D,3 
2015,7,APRIL,06776532,CD3D,1 
2015,7,APRIL,06779338,CD3D,5 
2015,7,APRIL,02115043,3P,"2,487 "
2015,7,APRIL,04125005,3P,30 
2015,7,APRIL,06110012,3D,12 
2015,7,APRIL,06110152,3D,16 
2015,7,APRIL,06140215,3D,105 
2015,7,APRIL,06160016,3P,264 
2015,7,APRIL,06166222,3D,150 
2015,7,APRIL,06775371,CD3D,1 
2015,7,APRIL,04127011,3P,80 
2015,7,APRIL,05110078,3P,156 
2015,7,APRIL,05173012,3P,275 
2015,7,APRIL,05173050,3P,40 
2015,7,APRIL,05175000,3P,11 
2015,7,APRIL,06110131,3D,24 
2015,7,APRIL,06150029,3D,100 
2015,7,APRIL,06159176,3D,900 
2015,7,APRIL,06160300,3D,6 
2015,7,APRIL,06771002,CD3P,2 
2015,7,APRIL,06772231,CD3D,13 
2015,7,APRIL,06772232,CD3D,34 
2015,7,APRIL,06778214,CD3D,1 
2015,7,APRIL,06779305,CD3D,4 
2015,7,APRIL,04120016,3P,48 
2015,7,APRIL,04770206,CD3P,8 
2015,7,APRIL,04771003,CD3P,0 
2015,7,APRIL,04772824,CD3P,1 
2015,7,APRIL,04772836,CD3P,3 
2015,7,APRIL,05110074,3P,78 
2015,7,APRIL,05170008,3P,90 
2015,7,APRIL,06110147,3D,16 
2015,7,APRIL,06142009,3D,54 
2015,7,APRIL,06160301,3D,6 
2015,7,APRIL,06775344,CD3D,2 
2015,7,APRIL,01771000,CD3P,1 
2015,7,APRIL,02770053,CD3P,280 
2015,7,APRIL,04116019,3P,240 
2015,7,APRIL,04120020,3P,42 
2015,7,APRIL,04130105,3P,"1,200 "
2015,7,APRIL,04771000,CD3P,12 
2015,7,APRIL,04771000,CD3P,3 
2015,7,APRIL,05171003,3P,135 
2015,7,APRIL,05174010,3P,"2,340 "
2015,7,APRIL,06140006,3D,48 
2015,7,APRIL,06161673,3D,126 
2015,7,APRIL,06166112,3D,50 
2015,7,APRIL,06181543,3D,54 
2015,7,APRIL,06770206,CD3D,12 
2015,7,APRIL,06770253,CD3P,2 
2015,7,APRIL,06771002,CD3D,2 
2015,7,APRIL,06771475,CD3D,1 
2015,7,APRIL,06776433,CD3D,1 
2015,7,APRIL,06777778,CD3P,47 
2015,7,APRIL,06779302,CD3D,1 
2015,7,APRIL,02127010,3P,"4,992 "
2015,7,APRIL,04124005,3P,600 
2015,7,APRIL,04770132,CD3P,3 
2015,7,APRIL,04771002,CD3P,0 
2015,7,APRIL,04771003,CD3P,4 
2015,7,APRIL,04772820,CD3P,6 
2015,7,APRIL,04772823,CD3P,1 
2015,7,APRIL,05173074,3P,150 
2015,7,APRIL,06117004,3D,18 
2015,7,APRIL,06140131,3D,44 
2015,7,APRIL,06160332,3D,54 
2015,7,APRIL,06166014,3D,197 
2015,7,APRIL,06777155,CD3D,1 
2015,7,APRIL,06778637,CD3D,1 
2015,7,APRIL,09150812,3D,168 
2015,7,APRIL,09160030,3D,96 
2015,7,APRIL,70114164,3L,0 
2015,7,APRIL,70331814,CD3L,48 
2015,7,APRIL,70339064,CD3L,2 
2015,7,APRIL,70343226,CD3L,12 
2015,7,APRIL,70350914,CD3L,24 
2015,7,APRIL,70356584,CD3L,72 
2015,7,APRIL,70357354,CD3L,12 
2015,7,APRIL,70553094,CD3L,12 
2015,7,APRIL,73770104,CD3L,12 
2015,7,APRIL,77774214,CD3L,3 
2015,7,APRIL,79BL1100,3L,8 
2015,7,APRIL,80770505,CD3M,3 
2015,7,APRIL,81BL0360,CD3L,1 
2015,7,APRIL,81BL1290,CD3L,16 
2015,7,APRIL,81NR1916,CD3L,8 
2015,7,APRIL,81NR2566,CD3L,21 
2015,7,APRIL,01127012,3P,50 
2015,7,APRIL,04120007,3P,360 
2015,7,APRIL,04125040,3P,160 
2015,7,APRIL,04772821,CD3P,2 
2015,7,APRIL,05173072,3P,80 
2015,7,APRIL,06110319,3P,32 
2015,7,APRIL,06148030,3D,24 
2015,7,APRIL,06160144,3P,112 
2015,7,APRIL,06771529,CD3P,3 
2015,7,APRIL,06775273,CD3D,2 
2015,7,APRIL,06775480,CD3D,2 
2015,7,APRIL,06778635,CD3D,2 
2015,7,APRIL,06779332,CD3D,4 
2015,7,APRIL,02770022,CD3P,40 
2015,7,APRIL,02770024,CD3P,132 
2015,7,APRIL,04771000,CD3P,4 
2015,7,APRIL,05173057,3P,170 
2015,7,APRIL,06110140,3D,80 
2015,7,APRIL,06110150,3D,16 
2015,7,APRIL,06140026,3D,48 
2015,7,APRIL,06142016,3D,54 
2015,7,APRIL,06148027,3D,120 
2015,7,APRIL,06160076,3D,252 
2015,7,APRIL,06771002,CD3D,18 
2015,7,APRIL,06772194,CD3D,8 
2015,7,APRIL,06775033,CD3D,18 
2015,7,APRIL,06775249,CD3D,12 
2015,7,APRIL,06777777,CD3P,18 
2015,7,APRIL,06779319,CD3D,1 
2015,7,APRIL,06778542,CD3D,1 
2015,7,APRIL,10140016,3D,40 
2015,7,APRIL,70333264,CD3L,24 
2015,7,APRIL,70345824,CD3L,0 
2015,7,APRIL,70345984,CD3L,12 
2015,7,APRIL,70347174,CD3L,12 
2015,7,APRIL,70550294,CD3L,12 
2015,7,APRIL,70664144,CD3L,12 
2015,7,APRIL,70774402,CD3L,12 
2015,7,APRIL,70779944,CD3L,12 
2015,7,APRIL,79NR2975,3L,150 
2015,7,APRIL,81NR3566,CD3L,2 
2015,7,APRIL,83108794,CD3L,2 
2015,7,APRIL,01120014,3P,"41,860 "
2015,7,APRIL,02115034,3P,"70,103 "
2015,7,APRIL,02770076,CD3P,"5,760 "
2015,7,APRIL,70331624,CD3L,0 
2015,7,APRIL,70332204,CD3L,36 
2015,7,APRIL,70342134,CD3L,0 
2015,7,APRIL,70440194,CD3L,6 
2015,7,APRIL,70440296,CD3L,12 
2015,7,APRIL,70441004,CD3L,0 
2015,7,APRIL,70558014,CD3L,27 
2015,7,APRIL,70559144,CD3L,12 
2015,7,APRIL,70660524,CD3L,24 
2015,7,APRIL,70662514,CD3L,12 
2015,7,APRIL,70777596,CD3L,36 
2015,7,APRIL,71713074,3L,60 
2015,7,APRIL,80807584,3D,24 
2015,7,APRIL,81BL1480,CD3L,2 
2015,7,APRIL,81BL1720,CD3L,3 
2015,7,APRIL,81CN9445,CD3L,30 
2015,7,APRIL,81NR1976,CD3L,21 
2015,7,APRIL,81NR4386,CD3L,1 
2015,7,APRIL,83108954,CD3L,4 
2015,7,APRIL,02115040,3P,"2,660 "
2015,7,APRIL,04116010,3P,192 
2015,7,APRIL,04126022,3P,50 
2015,7,APRIL,04126026,3P,50 
2015,7,APRIL,04771002,CD3P,5 
2015,7,APRIL,04771003,CD3P,3 
2015,7,APRIL,05170018,3P,13 
2015,7,APRIL,06160315,3D,34 
2015,7,APRIL,06168067,3D,32 
2015,7,APRIL,06771002,CD3D,1 
2015,7,APRIL,06779303,CD3D,1 
2015,7,APRIL,02115001,3P,"6,760 "
2015,7,APRIL,02115036,3P,"2,240 "
2015,7,APRIL,04110011,3P,40 
2015,7,APRIL,04126027,3P,80 
2015,7,APRIL,04771002,CD3P,7 
2015,7,APRIL,04771002,CD3P,0 
2015,7,APRIL,06181536,3D,14 
2015,7,APRIL,06770082,CD3D,10 
2015,7,APRIL,06771693,CD3P,2 
2015,7,APRIL,06779301,CD3D,1 
2015,7,APRIL,09150130,3D,48 
2015,7,APRIL,70332984,CD3L,12 
2015,7,APRIL,70334404,CD3L,0 
2015,7,APRIL,70334524,CD3L,24 
2015,7,APRIL,70338544,CD3L,24 
2015,7,APRIL,70440134,CD3L,0 
2015,7,APRIL,70440704,CD3L,24 
2015,7,APRIL,70554714,CD3L,12 
2015,7,APRIL,73770164,CD3L,12 
2015,7,APRIL,75770564,CD3L,12 
2015,7,APRIL,79BL0420,3L,16 
2015,7,APRIL,81BL1980,CD3L,21 
2015,7,APRIL,81BL7850,CD3L,3 
2015,7,APRIL,81CN0286,CD3L,2 
2015,7,APRIL,81NR3166,CD3L,2 
2015,7,APRIL,81NR3206,CD3L,5 
2015,7,APRIL,83137894,CD3L,8 
2015,7,APRIL,04120016,3P,384 
2015,7,APRIL,04120028,3P,360 
2015,7,APRIL,04771000,CD3P,1 
2015,7,APRIL,04771000,CD3P,1 
2015,7,APRIL,04771003,CD3P,1 
2015,7,APRIL,09150833,3D,240 
2015,7,APRIL,70341084,CD3L,12 
2015,7,APRIL,70349214,CD3L,12 
2015,7,APRIL,70352034,CD3L,12 
2015,7,APRIL,70354444,CD3L,0 
2015,7,APRIL,70440804,CD3L,30 
2015,7,APRIL,70443854,CD3L,0 
2015,7,APRIL,70445134,CD3L,12 
2015,7,APRIL,70446364,CD3L,24 
2015,7,APRIL,70662504,CD3L,24 
2015,7,APRIL,74772804,CD3L,7 
2015,7,APRIL,76772084,CD3L,1 
2015,7,APRIL,79BL8880,3L,48 
2015,7,APRIL,79NR0025,3L,63 
2015,7,APRIL,80771786,CD3M,4 
2015,7,APRIL,80807588,3D,144 
2015,7,APRIL,81BL0250,CD3L,8 
2015,7,APRIL,81BL1000,CD3L,1 
2015,7,APRIL,81NR1946,CD3L,1 
2015,7,APRIL,81NR3446,CD3L,5 
2015,7,APRIL,83108754,CD3L,1 
2015,7,APRIL,83131384,CD3L,3 
2015,7,APRIL,83137964,CD3L,6 
2015,7,APRIL,01127046,3P,"3,177 "
2015,7,APRIL,01127044,3P,480 
2015,7,APRIL,02770005,CD3P,158 
2015,7,APRIL,04116022,3P,108 
2015,7,APRIL,04120064,3P,15 
2015,7,APRIL,04125011,3P,320 
2015,7,APRIL,05130018,3P,500 
2015,7,APRIL,05171001,3P,225 
2015,7,APRIL,06110141,3D,40 
